id,value
category,
category.ChineseArt,
category.ChineseArt.13.总,223.826975
category.ChineseArt.4.成交价,123.598702
category.ChineseArt.20.抽象,299.746554
category.ChineseArt.41.拍,1199.380820
category.ChineseArt.24.本晚,155.014098
category.ChineseArt.17.笔,155.014098
category.ChineseArt.11.艺术作品,140.536457
category.ChineseArt.23.达,100.652184
category.ChineseArt.50.道,121.398056
category.ChineseArt.50.三场,180.256792
category.ChineseArt.47.不,252.644459
category.ChineseArt.41.举行,834.431340
category.ChineseArt.41.书画,1425.790482
category.ChineseArt.16.倒数,158.896045
category.ChineseArt.14.先驱,190.054914
category.ChineseArt.44.光,117.792443
category.ChineseArt.4.单色,111.357094
category.ChineseArt.17.古代,784.950494
category.ChineseArt.47.名家,103.249514
category.ChineseArt.23.多场,117.792443
category.ChineseArt.51.容错过,106.791142
category.ChineseArt.21.山口,117.792443
category.ChineseArt.46.志,117.792443
category.ChineseArt.19.拍卖会,220.061063
category.ChineseArt.0.摄影,100.355793
category.ChineseArt.22.日,1407.202408
category.ChineseArt.19.明天,251.010687
category.ChineseArt.29.现当代,385.939883
category.ChineseArt.20.男,100.355793
category.ChineseArt.41.百件,117.792443
category.ChineseArt.30.绘画,234.362671
category.ChineseArt.42.翰墨,191.846307
category.ChineseArt.1.荟萃,106.791142
category.ChineseArt.41.郎静山,117.792443
category.ChineseArt.32.长,90.735495
category.ChineseArt.38.19,354.260000
category.ChineseArt.47.5,246.596826
category.ChineseArt.13.·,216.458990
category.ChineseArt.31.全新,188.161946
category.ChineseArt.30.分享,447.272509
category.ChineseArt.36.前夕,105.760220
category.ChineseArt.45.展期,105.760220
category.ChineseArt.42.开幕,320.717597
category.ChineseArt.33.感知,299.946682
category.ChineseArt.44.日至,334.142959
category.ChineseArt.21.松,242.680469
category.ChineseArt.44.蔡小松,317.280660
category.ChineseArt.24.近年,167.917431
category.ChineseArt.34.风格,201.734439
category.ChineseArt.23.C,140.042543
category.ChineseArt.9.W,140.042543
category.ChineseArt.11.五百年,140.042543
category.ChineseArt.16.优秀,205.289096
category.ChineseArt.13.典例,70.021271
category.ChineseArt.28.制作,55.830653
category.ChineseArt.24.前卫,70.021271
category.ChineseArt.48.卓越,59.656121
category.ChineseArt.49.工艺,59.656121
category.ChineseArt.28.带领,66.195803
category.ChineseArt.30.庄园,140.042543
category.ChineseArt.0.彰显,59.656121
category.ChineseArt.50.影片,70.021271
category.ChineseArt.11.探索,227.168752
category.ChineseArt.43.时尚,58.201746
category.ChineseArt.3.时装,210.063814
category.ChineseArt.43.查茨沃斯,210.063814
category.ChineseArt.23.潮流,70.021271
category.ChineseArt.24.短片,61.376283
category.ChineseArt.46.第三集,140.042543
category.ChineseArt.8.精湛,63.481590
category.ChineseArt.43.观者,146.745362
category.ChineseArt.35.观赏,66.195803
category.ChineseArt.34.订制,70.021271
category.ChineseArt.44.赛乐思,140.042543
category.ChineseArt.31.追求,61.376283
category.ChineseArt.4.非凡,126.761426
category.ChineseArt.35.风华,63.481590
category.ChineseArt.5.高级,59.656121
category.ChineseArt.9.－,162.064415
category.ChineseArt.16.14,70.751606
category.ChineseArt.43.200,229.170751
category.ChineseArt.10.9,589.842159
category.ChineseArt.45.RNA0UbB,107.251452
category.ChineseArt.29.RNA0Ubr,107.251452
category.ChineseArt.4.中国书画,1504.983778
category.ChineseArt.46.书画名家,107.251452
category.ChineseArt.47.公开,75.498889
category.ChineseArt.44.册页,201.073068
category.ChineseArt.14.图录,190.038701
category.ChineseArt.18.张大千,906.110862
category.ChineseArt.18.扇面,107.251452
category.ChineseArt.6.手卷,306.485590
category.ChineseArt.7.日起,91.375170
category.ChineseArt.16.注册,87.217815
category.ChineseArt.37.王,189.059155
category.ChineseArt.42.画作,416.276803
category.ChineseArt.31.立轴,107.251452
category.ChineseArt.5.精彩,191.775708
category.ChineseArt.5.网拍,97.234633
category.ChineseArt.33.翚,107.251452
category.ChineseArt.36.董其昌,236.008569
category.ChineseArt.41.黄宾虹,306.705006
category.ChineseArt.3.齐聚,97.234633
category.ChineseArt.34.10,473.852619
category.ChineseArt.14.2,660.412011
category.ChineseArt.18.2017,274.440112
category.ChineseArt.18.‧,66.240995
category.ChineseArt.17.一览,134.414817
category.ChineseArt.8.两幅,77.962339
category.ChineseArt.42.为首,85.993784
category.ChineseArt.36.今秋,235.977334
category.ChineseArt.28.傅抱石,574.500078
category.ChineseArt.28.其父,85.993784
category.ChineseArt.23.写下,77.962339
category.ChineseArt.25.列传,85.993784
category.ChineseArt.2.后汉书,85.993784
category.ChineseArt.33.四十年代,85.993784
category.ChineseArt.39.夜渡,171.987567
category.ChineseArt.43.开启,565.155772
category.ChineseArt.3.微信,613.922323
category.ChineseArt.48.故实,85.993784
category.ChineseArt.41.本作,81.295690
category.ChineseArt.11.本幅,248.751792
category.ChineseArt.11.杜安之嘱,85.993784
category.ChineseArt.37.杰构,85.993784
category.ChineseArt.42.欧洲,109.231616
category.ChineseArt.9.此作,77.962339
category.ChineseArt.23.段,81.295690
category.ChineseArt.16.法籍,85.993784
category.ChineseArt.3.渊源,85.993784
category.ChineseArt.18.珍藏,556.708815
category.ChineseArt.35.画家,73.264245
category.ChineseArt.24.私人,243.637823
category.ChineseArt.41.秋,1418.485934
category.ChineseArt.50.而制,85.993784
category.ChineseArt.11.西山,171.987567
category.ChineseArt.14.越南人,85.993784
category.ChineseArt.44.##,507.472249
category.ChineseArt.3.|,103.682771
category.ChineseArt.34.专场,180.654207
category.ChineseArt.2.专题,291.700787
category.ChineseArt.25.东亚地区,67.969316
category.ChineseArt.34.丝绸之路,67.969316
category.ChineseArt.34.主题,267.860859
category.ChineseArt.5.体会,67.969316
category.ChineseArt.26.全球,180.476551
category.ChineseArt.0.千变万化,142.338107
category.ChineseArt.29.历史,44.478784
category.ChineseArt.17.合,128.511903
category.ChineseArt.9.墨艺,135.938632
category.ChineseArt.3.多位,59.577666
category.ChineseArt.7.大师,590.081764
category.ChineseArt.22.展示,118.696086
category.ChineseArt.34.技法,148.740106
category.ChineseArt.1.来自,238.667327
category.ChineseArt.51.汇集,61.621278
category.ChineseArt.20.深义,67.969316
category.ChineseArt.28.灵感,215.262733
category.ChineseArt.50.现身,130.290021
category.ChineseArt.20.笔墨,67.969316
category.ChineseArt.23.融汇,67.969316
category.ChineseArt.1.邻近,67.969316
category.ChineseArt.37.闻名遐迩,67.969316
category.ChineseArt.4.革新,67.969316
category.ChineseArt.47.风格各异,133.913661
category.ChineseArt.31.一百一十,85.140701
category.ChineseArt.10.专家,418.718731
category.ChineseArt.51.书法,474.837692
category.ChineseArt.11.书画作品,85.140701
category.ChineseArt.8.元明清,85.140701
category.ChineseArt.9.大部分,72.537443
category.ChineseArt.51.市场,40.611479
category.ChineseArt.38.拍品,735.483650
category.ChineseArt.17.推介,72.537443
category.ChineseArt.48.未,63.667424
category.ChineseArt.37.本场,230.502867
category.ChineseArt.0.涵盖,172.610425
category.ChineseArt.36.焦点,153.835320
category.ChineseArt.22.珍宝,85.140701
category.ChineseArt.16.皆,373.319273
category.ChineseArt.50.精品,489.961003
category.ChineseArt.11.见诸于,85.140701
category.ChineseArt.2.选,141.538058
category.ChineseArt.42.部,315.707399
category.ChineseArt.42.上,91.902963
category.ChineseArt.16.云,79.455558
category.ChineseArt.28.何兆骥,238.366674
category.ChineseArt.11.佳品,79.455558
category.ChineseArt.19.先生,396.410582
category.ChineseArt.14.包罗,75.114667
category.ChineseArt.3.十五件,79.455558
category.ChineseArt.9.受,187.364868
category.ChineseArt.34.唐,72.034755
category.ChineseArt.10.四首,79.455558
category.ChineseArt.24.委托,156.668517
category.ChineseArt.35.宋拓,79.455558
category.ChineseArt.18.家具,135.321522
category.ChineseArt.42.家族,251.407696
category.ChineseArt.5.将军,79.455558
category.ChineseArt.37.尤其,72.034755
category.ChineseArt.20.巨幅,75.114667
category.ChineseArt.6.当中,63.352972
category.ChineseArt.29.很,44.574521
category.ChineseArt.3.忆,75.114667
category.ChineseArt.42.拍卖场,79.455558
category.ChineseArt.13.文化,189.983794
category.ChineseArt.5.文徵明,79.455558
category.ChineseArt.31.昔次,79.455558
category.ChineseArt.35.最为,69.645790
category.ChineseArt.40.李思训,79.455558
category.ChineseArt.28.李邕,79.455558
category.ChineseArt.21.次,58.622730
category.ChineseArt.27.欣赏,177.894907
category.ChineseArt.2.珍品,232.341411
category.ChineseArt.38.珠宝,51.201928
category.ChineseArt.23.瞩目,124.132166
category.ChineseArt.13.石亭,79.455558
category.ChineseArt.13.碑,79.455558
category.ChineseArt.0.精选,577.155197
category.ChineseArt.33.荣幸,75.114667
category.ChineseArt.32.藏品,66.043533
category.ChineseArt.43.行书,138.788061
category.ChineseArt.9.难得一见,72.034755
category.ChineseArt.18.韵,79.455558
category.ChineseArt.43.麾,79.455558
category.ChineseArt.7.1931,94.718522
category.ChineseArt.5.30,184.922299
category.ChineseArt.47.上以,94.718522
category.ChineseArt.11.亲题,94.718522
category.ChineseArt.21.具有,78.730123
category.ChineseArt.26.刮涂,94.718522
category.ChineseArt.13.动感,176.367561
category.ChineseArt.34.动物,94.718522
category.ChineseArt.51.反常规,94.718522
category.ChineseArt.14.女性,89.543770
category.ChineseArt.4.孤品,89.543770
category.ChineseArt.7.常玉,286.778148
category.ChineseArt.43.常玉一,94.718522
category.ChineseArt.8.年,455.178967
category.ChineseArt.39.年份,77.025928
category.ChineseArt.50.方式,71.851175
category.ChineseArt.8.晚,89.543770
category.ChineseArt.32.最早,83.024353
category.ChineseArt.21.油彩,169.904666
category.ChineseArt.12.注入,89.543770
category.ChineseArt.8.涂满,94.718522
category.ChineseArt.2.生动活泼,94.718522
category.ChineseArt.51.艺术大师,242.821693
category.ChineseArt.19.花豹,284.155566
category.ChineseArt.12.隆重,207.205381
category.ChineseArt.41.题材,137.229157
category.ChineseArt.49.魅力,85.872225
category.ChineseArt.22.一系列,166.965474
category.ChineseArt.10.三家,273.930737
category.ChineseArt.11.世纪,117.906719
category.ChineseArt.27.主人,64.957608
category.ChineseArt.23.之成,68.711521
category.ChineseArt.21.之期,68.711521
category.ChineseArt.30.五十年代,68.711521
category.ChineseArt.30.人士,48.898171
category.ChineseArt.32.余学斋,137.423042
category.ChineseArt.18.六十年代,64.957608
category.ChineseArt.2.初所赠,68.711521
category.ChineseArt.44.嗜,68.711521
category.ChineseArt.43.四十,68.711521
category.ChineseArt.33.大盛,68.711521
category.ChineseArt.2.家,109.139906
category.ChineseArt.39.当地,48.898171
category.ChineseArt.8.得名,68.711521
category.ChineseArt.17.性,151.781399
category.ChineseArt.21.所集,68.711521
category.ChineseArt.4.扇,259.830433
category.ChineseArt.18.报界,68.711521
category.ChineseArt.6.文化界,68.711521
category.ChineseArt.7.旧藏,194.814985
category.ChineseArt.23.本季,352.895681
category.ChineseArt.5.本辑,68.711521
category.ChineseArt.50.渡海,273.930737
category.ChineseArt.14.相配,68.711521
category.ChineseArt.5.讲究,62.294165
category.ChineseArt.44.选料,68.711521
category.ChineseArt.33.郑德芬,68.711521
category.ChineseArt.48.信札,239.471709
category.ChineseArt.44.元代,415.791198
category.ChineseArt.45.张雨,239.471709
category.ChineseArt.1.捷報,239.471709
category.ChineseArt.51.致伯清,239.471709
category.ChineseArt.21.1932,86.160412
category.ChineseArt.48.530,91.139640
category.ChineseArt.33.85,152.497402
category.ChineseArt.20.万港元,194.115122
category.ChineseArt.4.世界,95.753426
category.ChineseArt.4.两米,91.139640
category.ChineseArt.13.之轮,91.139640
category.ChineseArt.15.亿,119.741277
category.ChineseArt.1.出于,154.598085
category.ChineseArt.16.别具,91.139640
category.ChineseArt.40.刷新,70.204846
category.ChineseArt.9.华人,159.774656
category.ChineseArt.51.博物馆,77.648367
category.ChineseArt.32.大展,91.139640
category.ChineseArt.21.尺幅,79.887328
category.ChineseArt.42.工业,77.648367
category.ChineseArt.0.市,86.160412
category.ChineseArt.43.意义,79.887328
category.ChineseArt.6.成交,431.160424
category.ChineseArt.36.捷报,91.139640
category.ChineseArt.40.旅美,91.139640
category.ChineseArt.30.晚间,375.775981
category.ChineseArt.42.朱沅芷,91.139640
category.ChineseArt.30.树立,91.139640
category.ChineseArt.2.正在,53.180756
category.ChineseArt.14.纪录,254.049993
category.ChineseArt.49.而作,91.139640
category.ChineseArt.3.释,91.139640
category.ChineseArt.46.重新,72.669140
category.ChineseArt.10.首度,75.755353
category.ChineseArt.34.高,197.423633
